Bengali Transcription: video.mp4
Generated: 2026-01-13 02:33:14.703506
============================================================

[00:00:00 - 00:00:02]  ünüz  attendees have to resolve the delegation toЯ
[00:00:14 - 00:00:16]  are in indigestion
[00:00:18 - 00:00:19]  or choice
[00:00:19 - 00:00:20]  or edges
[00:00:20 - 00:00:22]  were concern
[00:00:22 - 00:00:24]  I'm
[00:00:24 - 00:00:26]  I'm
[00:00:26 - 00:00:27]  I'm
[00:00:27 - 00:00:28]  England
[00:00:28 - 00:00:29]  but
[00:00:29 - 00:00:44]  nirbacchaner baki armatto 30 din ek guruttapurno shomay jati unirapatta ebang aansrinkhola ganotantik shakshauner challenge shishok alachanaar ajan kare center for governance studies, CGS
[00:00:44 - 00:00:49]  sitrap milona atone e alachanaaya angshunan rajnoitik o samajik shangot chuner netara
[00:00:49 - 00:00:52]  nirbacchaner ek rastionirapatta ek baura kori kha wole manaya bishin
[00:00:52 - 00:01:03]  tader bakhtube uthe ashe aansrinkhola bahinike rajnoitik pobhap mukto rakhar guruttap jati unirapatta ekhette deshe sharthoke shamanotu rakhar kaushal
[00:01:03 - 00:01:18]  ek jon dhisi, sp ek jon hanaar osi jodi rajnoitik chaap mukto bhave thik matatar, daitar shatatar shathe shodik bhave palon karte paren, tawle desh kokhano shrinkhola heen thakte parenar
[00:01:18 - 00:01:30]  amade resha bahinik hulu ek hulu ke janabandap karadarkar ita kono doliyo anugato bahinina, e rastet bahinini shabhe kaskotpe janasharthe kaskotpe
[00:01:30 - 00:01:35]  tara balin boshik rajnoitik pobhap stiti jati unirapatta niye notun kore bhapachhe
[00:01:35 - 00:01:40]  nirapatta ishute rohingya janagushchir bishayo shiddhantunitihabe sharkar ke
[00:01:40 - 00:01:47]  mula gato jayga heinejhe derasho lukko mukto jodi naho hee rajnoitik bhave jid amre engage kore jodi shei jinishgul o jodi tikkakotpe napari
[00:01:47 - 00:01:51]  kono kishi amade internal security ensure kote asho le parenar
[00:01:51 - 00:02:00]  shimana bhihin je juki guli toiri hoechhe, hei shei juki guli ke mukabela karad jonno, je new knowledge dharkar
[00:02:00 - 00:02:08]  ghanodantik shasunir challenge uttaronne shikkhar pasapashi nagarik shachetonota vidhir par ma shodan bishleshokra
[00:02:08 - 00:02:14]  kibave manush shadeshputha bhave bhaeda upektha kore nirbachonne tar pudini di nirbachon korbe
[00:02:14 - 00:02:16]  shaid ek ra baro challenge hendari ashe
[00:02:16 - 00:02:21]  amla chay agave nirbachon amade itihashhe sabchabhath nirbachon haave
[00:02:21 - 00:02:25]  e boite nishchitokotpe la abade shabai ke jendai tori thave
[00:02:25 - 00:02:32]  deshe nirapatta sharte vidashi agrashonir bhiudhe rajnoitik dalgul ur mudhe okre bhi kalpo nahi bolayo
[00:02:32 - 00:02:33]  monto bo karentara
[00:02:33 - 00:02:36]  chakte proteshtan ke apna shongi rakte hi haave
[00:02:36 - 00:02:39]  shofikul islam ekushe televison dhaka
